"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
20,0,0.10146,19,14,16,1300,0.10146,40,1,4,21,20,16,14,1300,0.10146,40,1,4,0.15219,0.152287,0.15219,0.159491,0,20,62.4378,690.0865,752.5243,0.152287,0.159491,0.159491,0.0480291,0.530836,0.530836,6.33494,70.0162,76.3511,0.158474,1.83438,1.99285,39.9746,38.1688,0.152287,0.159491,0.159491,62.4378,690.0865,62.4378,690.0865,752.5243
22,0,0.102728,23,16,17,1300,0.102728,40,1,4,23,24,17,16,1300,0.102728,40,1,4,0.154092,0.15419,0.154092,0.161485,0,22,62.4378,690.0865,752.5243,0.15419,0.161485,0.161485,0.0480291,0.530836,0.530836,6.41411,70.8912,77.3053,0.160455,1.85731,2.01776,39.9746,38.1688,0.15419,0.161485,0.161485,62.4378,690.0865,62.4378,690.0865,752.5243
24,0,0.119022,25,18,19,1300,0.119022,40,1,4,25,26,19,18,1300,0.119022,40,1,4,0.178533,0.181836,0.178533,0.178534,0,24,406.4218,3.6,410.0218,0.181836,0.178534,0.181836,0.312632,0.00276923,0.312632,48.3731,0.428479,48.8016,1.2317,0.010712,1.24241,39.2735,39.9998,0.181836,0.178534,0.181836,406.4218,3.6,406.4218,3.6,410.0218
26,0,0.123493,27,20,21,1300,0.123493,40,1,4,27,28,21,20,1300,0.123493,40,1,4,0.18524,0.185239,0.18524,0.185318,0,26,0.0000,49.8000,49.8000,0.185239,0.185318,0.185318,0.0000,0.0383077,0.0383077,0.0000,6.14995,6.14995,0.0000,0.153814,0.153814,40.0000,39.9831,0.185239,0.185318,0.185318,0.0000,49.8000,0.0000,49.8000,49.8000
28,0,0.123135,29,18,22,1300,0.123135,40,1,4,29,30,22,18,1300,0.123135,40,1,4,0.184702,0.184703,0.184702,0.188119,0,28,3.6,406.4218,410.0218,0.184703,0.188119,0.188119,0.00276923,0.312632,0.312632,0.443286,50.0448,50.4880,0.0110822,1.27426,1.28535,39.9999,39.2735,0.184703,0.188119,0.188119,3.6,406.4218,3.6,406.4218,410.0218
30,1,0.101508,31,23,24,1300,0.101508,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.152262,0.159103,,,1,30,665.4060,,665.4060,0.159103,,0.159103,0.511851,,0.511851,67.5440,,67.5440,1.76447,,1.76447,38.2800,,0.159103,,0.159103,665.4060,,665.4060,,665.4060
31,0,0.121467,34,19,25,1300,0.121467,40,1,4,32,35,25,19,1300,0.121467,40,1,4,0.1822,0.185571,0.1822,0.182201,0,31,406.4218,3.6,410.0218,0.185571,0.182201,0.185571,0.312632,0.00276923,0.312632,49.3668,0.437281,49.8041,1.257,0.0109321,1.26793,39.2735,39.9998,0.185571,0.182201,0.185571,406.4218,3.6,406.4218,3.6,410.0218
33,0,0.120492,36,19,26,1300,0.120492,40,1,5,34,37,26,19,1300,0.120492,40,1,5,0.180738,0.180749,0.180738,0.180818,0,33,16.8000,51.0000,67.8000,0.180749,0.180818,0.180818,0.0129231,0.0392308,0.0392308,2.02427,6.14509,8.16936,0.0506097,0.153695,0.204305,39.9976,39.9824,0.180749,0.180818,0.180818,16.8000,51.0000,16.8000,51.0000,67.8000
35,0,0.120469,38,19,27,1300,0.120469,40,1,5,36,39,27,19,1300,0.120469,40,1,5,0.180704,0.180783,0.180704,0.180714,0,35,51.0000,16.8000,67.8000,0.180783,0.180714,0.180783,0.0392308,0.0129231,0.0392308,6.14392,2.02388,8.1678,0.153666,0.0506,0.204266,39.9824,39.9976,0.180783,0.180714,0.180783,51.0000,16.8000,51.0000,16.8000,67.8000
37,1,0.127297,40,20,28,1300,0.127297,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.190945,0.191182,,,1,37,90.6000,,90.6000,0.191182,,0.191182,0.0696923,,0.0696923,11.5331,,11.5331,0.288686,,0.288686,39.9504,,0.191182,,0.191182,90.6000,,90.6000,,90.6000
38,0,0.0109591,41,29,30,1300,0.010959,40,1,4,39,42,30,29,1300,0.010959,40,1,4,0.0164385,0.0170176,0.0164385,0.0164624,0,38,581.2577,99.0000,680.2577,0.0170176,0.0164624,0.0170176,0.447121,0.0761538,0.447121,6.37,1.08494,7.45494,0.16486,0.027163,0.192023,38.6389,39.9419,0.0170176,0.0164624,0.0170176,581.2577,99.0000,581.2577,99.0000,680.2577
40,0,0.0804689,43,29,31,1300,0.080469,40,1,4,41,44,31,29,1300,0.080469,40,1,4,0.120703,0.120842,0.120703,0.120835,0,40,86.9004,84.3581,171.2586,0.120842,0.120835,0.120842,0.0668465,0.0648909,0.0668465,6.99279,6.78821,13.7810,0.175021,0.169891,0.344912,39.9540,39.9564,0.120842,0.120835,0.120842,86.9004,84.3581,86.9004,84.3581,171.2586
42,0,0.263832,45,29,32,1300,0.263832,40,1,5,43,46,32,29,1300,0.263832,40,1,5,0.395748,0.396239,0.395748,0.409437,0,42,90.6000,575.4000,666.0000,0.396239,0.409437,0.409437,0.0696923,0.442615,0.442615,23.9032,151.8089,175.7121,0.598321,3.9265,4.52482,39.9504,38.6627,0.396239,0.409437,0.409437,90.6000,575.4000,90.6000,575.4000,666.0000
44,0,0.0269858,47,33,34,1300,0.026986,40,1,5,45,48,34,33,1300,0.026986,40,1,5,0.040479,0.040479,0.040479,0.040479,0,44,0.0000,0.0000,0.0000,0.040479,0.040479,0.040479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.040479,0.040479,0.040479,0.0000,0.0000,0.0000,0.0000,0.0000
46,0,0.0864777,49,33,35,1300,0.086478,40,1,5,47,50,35,33,1300,0.086478,40,1,5,0.129717,0.129717,0.129717,0.129717,0,46,0.0000,0.0000,0.0000,0.129717,0.129717,0.129717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.129717,0.129717,0.129717,0.0000,0.0000,0.0000,0.0000,0.0000
48,0,0.120824,51,20,36,1300,0.120824,40,1,5,49,52,36,20,1300,0.120824,40,1,5,0.181236,0.181236,0.181236,0.181236,0,48,0.0000,0.0000,0.0000,0.181236,0.181236,0.181236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.181236,0.181236,0.181236,0.0000,0.0000,0.0000,0.0000,0.0000
50,0,0.200814,53,37,38,1300,0.200814,40,1,4,51,54,38,37,1300,0.200814,40,1,4,0.301221,0.302208,0.301221,0.301362,0,50,155.4000,52.8000,208.2000,0.302208,0.301362,0.302208,0.119538,0.0406154,0.119538,31.2065,10.6030,41.8095,0.78272,0.265199,1.04792,39.8693,39.9812,0.302208,0.301362,0.302208,155.4000,52.8000,155.4000,52.8000,208.2000
52,0,0.101328,55,37,39,1300,0.101328,40,1,5,53,56,39,37,1300,0.101328,40,1,5,0.151992,0.152809,0.151992,0.152067,0,52,204.6000,54.3494,258.9494,0.152809,0.152067,0.152809,0.157385,0.0418072,0.157385,20.7317,5.50712,26.2388,0.52108,0.137746,0.658826,39.7860,39.9802,0.152809,0.152067,0.152809,204.6000,54.3494,204.6000,54.3494,258.9494
54,1,0.158885,57,37,40,1300,0.158885,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.238327,0.238495,,,1,54,66.1586,,66.1586,0.238495,,0.238495,0.0508912,,0.0508912,10.5116,,10.5116,0.262975,,0.262975,39.9718,,0.238495,,0.238495,66.1586,,66.1586,,66.1586
55,0,0.0999133,58,37,41,1300,0.099913,40,1,5,56,59,41,37,1300,0.099913,40,1,5,0.149869,0.149936,0.149869,0.15215,0,55,51.0000,364.6092,415.6092,0.149936,0.15215,0.15215,0.0392308,0.280469,0.280469,5.09556,36.4292,41.5248,0.127445,0.924587,1.05203,39.9824,39.4005,0.149936,0.15215,0.15215,51.0000,364.6092,51.0000,364.6092,415.6092
57,0,0.124385,60,20,42,1300,0.124385,40,1,5,58,61,42,20,1300,0.124385,40,1,5,0.186578,0.186577,0.186578,0.186633,0,57,0.0000,40.8000,40.8000,0.186577,0.186633,0.186633,0.0000,0.0313846,0.0313846,0.0000,5.07491,5.07491,0.0000,0.12691,0.12691,40.0000,39.9882,0.186577,0.186633,0.186633,0.0000,40.8000,0.0000,40.8000,40.8000
59,0,0.197382,62,43,2,1300,0.197382,40,1,5,60,63,2,43,1300,0.197382,40,1,5,0.296073,0.296073,0.296073,0.296073,0,59,0.0000,0.0000,0.0000,0.296073,0.296073,0.296073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.296073,0.296073,0.296073,0.0000,0.0000,0.0000,0.0000,0.0000
61,0,0.202144,64,43,44,1300,0.202144,40,1,5,62,65,44,43,1300,0.202144,40,1,5,0.303216,0.303216,0.303216,0.303216,0,61,0.0000,0.0000,0.0000,0.303216,0.303216,0.303216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.303216,0.303216,0.303216,0.0000,0.0000,0.0000,0.0000,0.0000
63,0,0.103487,66,45,46,1300,0.103487,40,1,5,64,67,46,45,1300,0.103487,40,1,5,0.15523,0.159092,0.15523,0.155459,0,63,479.0903,99.6000,578.6903,0.159092,0.155459,0.159092,0.368531,0.0766154,0.368531,49.5796,10.3073,59.8869,1.27032,0.258062,1.52838,39.0292,39.9412,0.159092,0.155459,0.159092,479.0903,99.6000,479.0903,99.6000,578.6903
65,0,0.101594,68,45,47,1300,0.101594,40,1,5,66,69,47,45,1300,0.101594,40,1,5,0.152391,0.152615,0.152391,0.156182,0,65,99.6000,479.0903,578.6903,0.152615,0.156182,0.156182,0.0766154,0.368531,0.368531,10.1188,48.6727,58.7915,0.253341,1.24708,1.50043,39.9412,39.0292,0.152615,0.156182,0.156182,99.6000,479.0903,99.6000,479.0903,578.6903
67,0,0.100522,70,48,49,1300,0.100522,40,1,5,68,71,49,48,1300,0.100522,40,1,5,0.150783,0.150844,0.150783,0.150892,0,67,48.6000,67.2000,115.8000,0.150844,0.150892,0.150892,0.0373846,0.0516923,0.0516923,4.88537,6.75508,11.6404,0.122184,0.168999,0.291183,39.9838,39.9710,0.150844,0.150892,0.150892,48.6000,67.2000,48.6000,67.2000,115.8000
69,0,0.09997,72,48,50,1300,0.09997,40,1,5,70,73,50,48,1300,0.09997,40,1,5,0.149955,0.150162,0.149955,0.150071,0,69,96.0000,69.6000,165.6000,0.150162,0.150071,0.150162,0.0738462,0.0535385,0.0738462,9.59712,6.95791,16.5550,0.240259,0.174082,0.414341,39.9450,39.9691,0.150162,0.150071,0.150162,96.0000,69.6000,96.0000,69.6000,165.6000
71,0,0.129822,76,51,52,1300,0.129822,40,1,5,72,77,52,51,1300,0.129822,40,1,5,0.194733,0.195394,0.194733,0.194821,0,71,158.4000,51.6000,210.0000,0.195394,0.194821,0.195394,0.121846,0.0396923,0.121846,20.5638,6.69882,27.2626,0.515839,0.167546,0.683385,39.8647,39.9820,0.195394,0.194821,0.195394,158.4000,51.6000,158.4000,51.6000,210.0000
73,0,0.134169,78,51,53,1300,0.134169,40,1,5,74,79,53,51,1300,0.134169,40,1,5,0.201254,0.201344,0.201254,0.201936,0,73,51.6000,158.4000,210.0000,0.201344,0.201936,0.201936,0.0396923,0.121846,0.121846,6.92312,21.2524,28.1755,0.173156,0.533112,0.706268,39.9820,39.8647,0.201344,0.201936,0.201936,51.6000,158.4000,51.6000,158.4000,210.0000
75,1,0.10045,80,54,11,1300,0.10045,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.150675,0.155936,,,1,75,578.4000,,578.4000,0.155936,,0.155936,0.444923,,0.444923,58.1003,,58.1003,1.50322,,1.50322,38.6505,,0.155936,,0.155936,578.4000,,578.4000,,578.4000
76,0,0.125829,81,21,55,1300,0.125829,40,1,4,77,82,55,21,1300,0.125829,40,1,4,0.188743,0.188744,0.188743,0.188823,0,76,0.0000,49.8000,49.8000,0.188744,0.188823,0.188823,0.0000,0.0383077,0.0383077,0.0000,6.26628,6.26628,0.0000,0.156723,0.156723,40.0000,39.9831,0.188744,0.188823,0.188823,0.0000,49.8000,0.0000,49.8000,49.8000
78,0,0.100194,83,56,57,1300,0.100194,40,1,5,79,84,57,56,1300,0.100194,40,1,5,0.150291,0.150292,0.150291,0.150292,0,78,4.8,3.6,8.4,0.150292,0.150292,0.150292,0.00369231,0.00276923,0.00369231,0.480931,0.360698,0.84163,0.0120234,0.00901749,0.0210408,39.9998,39.9999,0.150292,0.150292,0.150292,4.8,3.6,4.8,3.6,8.4
80,0,0.101772,85,56,58,1300,0.101772,40,1,5,81,86,58,56,1300,0.101772,40,1,5,0.152658,0.154431,0.152658,0.153989,0,80,313.8000,267.6000,581.4000,0.154431,0.153989,0.154431,0.241385,0.205846,0.241385,31.9361,27.2342,59.1702,0.807674,0.686791,1.49446,39.5408,39.6543,0.154431,0.153989,0.154431,313.8000,267.6000,313.8000,267.6000,581.4000
82,0,0.0999726,87,59,60,1300,0.099973,40,1,5,83,88,60,59,1300,0.099973,40,1,5,0.14996,0.150014,0.14996,0.150001,0,82,45.6000,39.6000,85.2000,0.150014,0.150001,0.150014,0.0350769,0.0304615,0.0350769,4.55877,3.95893,8.5177,0.11401,0.099001,0.213011,39.9856,39.9888,0.150014,0.150001,0.150014,45.6000,39.6000,45.6000,39.6000,85.2000
84,0,0.0995819,89,59,61,1300,0.099582,40,1,5,85,90,61,59,1300,0.099582,40,1,5,0.149373,0.149415,0.149373,0.149427,0,84,39.6000,45.6000,85.2000,0.149415,0.149427,0.149427,0.0304615,0.0350769,0.0350769,3.94345,4.54094,8.48439,0.0986138,0.113564,0.212178,39.9888,39.9856,0.149415,0.149427,0.149427,39.6000,45.6000,39.6000,45.6000,85.2000
86,0,0.132282,91,62,61,1300,0.132282,40,1,5,87,92,61,62,1300,0.132282,40,1,5,0.198423,0.201398,0.198423,0.198471,0,86,361.6096,36.6000,398.2096,0.201398,0.198471,0.201398,0.278161,0.0281538,0.278161,47.8344,4.84152,52.6760,1.21379,0.121067,1.33486,39.4092,39.9903,0.201398,0.198471,0.201398,361.6096,36.6000,361.6096,36.6000,398.2096
88,0,0.120156,93,62,63,1300,0.120156,40,1,5,89,94,63,62,1300,0.120156,40,1,5,0.180234,0.180278,0.180234,0.182936,0,88,36.6000,361.6096,398.2096,0.180278,0.182936,0.182936,0.0281538,0.278161,0.278161,4.39771,43.4496,47.8473,0.109969,1.10252,1.21249,39.9903,39.4092,0.180278,0.182936,0.182936,36.6000,361.6096,36.6000,361.6096,398.2096
90,0,0.0917061,95,64,65,1300,0.091706,40,1,5,91,96,65,64,1300,0.091706,40,1,5,0.137559,0.137775,0.137559,0.137892,0,90,103.2000,131.2092,234.4092,0.137775,0.137892,0.137892,0.0793846,0.10093,0.10093,9.46406,12.0327,21.4967,0.236973,0.301544,0.538517,39.9373,39.9035,0.137775,0.137892,0.137892,103.2000,131.2092,103.2000,131.2092,234.4092
92,0,0.101262,97,64,66,1300,0.101262,40,1,5,7611,13128,66,64,1300,0.101262,40,1,5,0.151893,0.152216,0.151893,0.153856,0,92,122.2092,333.0000,455.2092,0.152216,0.153856,0.153856,0.0940071,0.256154,0.256154,12.3751,33.7202,46.0954,0.310037,0.853901,1.16394,39.9151,39.4896,0.152216,0.153856,0.153856,122.2092,333.0000,122.2092,333.0000,455.2092
93,1,0.0899069,98,64,67,4000,0.089907,65,2,3,,-1,-1,-1,-1,,-1,-1,-1,0.0829911,0.0834731,,,1,93,657.0000,,657.0000,0.0834731,,0.0834731,0.16425,,0.16425,59.0689,,59.0689,0.91403,,0.91403,64.6247,,0.0834731,,0.0834731,657.0000,,657.0000,,657.0000
94,1,0.125178,99,68,69,1300,0.125178,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.187767,0.194444,,,1,94,584.2960,,584.2960,0.194444,,0.194444,0.449458,,0.449458,73.1410,,73.1410,1.89354,,1.89354,38.6265,,0.194444,,0.194444,584.2960,,584.2960,,584.2960
95,0,0.201149,100,70,71,1300,0.201149,40,1,5,96,101,71,70,1300,0.201149,40,1,5,0.301723,0.302685,0.301723,0.305168,0,95,153.0000,310.8000,463.8000,0.302685,0.305168,0.305168,0.117692,0.239077,0.239077,30.7758,62.5171,93.2929,0.771847,1.58077,2.35262,39.8729,39.5486,0.302685,0.305168,0.305168,153.0000,310.8000,153.0000,310.8000,463.8000
97,0,0.200821,102,70,72,1300,0.200821,40,1,5,98,103,72,70,1300,0.200821,40,1,5,0.301231,0.30454,0.301231,0.302151,0,97,304.2000,149.4000,453.6000,0.30454,0.302151,0.30454,0.234,0.114923,0.234,61.0897,30.0027,91.0924,1.54402,0.752357,2.29637,39.5655,39.8782,0.30454,0.302151,0.30454,304.2000,149.4000,304.2000,149.4000,453.6000
99,0,0.1006,104,73,74,1300,0.1006,40,1,5,100,105,74,73,1300,0.1006,40,1,5,0.1509,0.15091,0.1509,0.150962,0,99,18.0000,49.2000,67.2000,0.15091,0.150962,0.150962,0.0138462,0.0378462,0.0378462,1.8108,4.94952,6.76032,0.0452731,0.123789,0.169062,39.9973,39.9835,0.15091,0.150962,0.150962,18.0000,49.2000,18.0000,49.2000,67.2000
101,0,0.0979995,106,73,75,1300,0.097999,40,1,5,102,107,75,73,1300,0.097999,40,1,5,0.146999,0.147059,0.146999,0.147008,0,101,49.2000,18.0000,67.2000,0.147059,0.147008,0.147059,0.0378462,0.0138462,0.0378462,4.82155,1.76398,6.58553,0.120589,0.0441025,0.164691,39.9835,39.9973,0.147059,0.147008,0.147059,49.2000,18.0000,49.2000,18.0000,67.2000
103,0,0.103763,108,76,77,1300,0.103763,40,1,4,104,109,77,76,1300,0.103763,40,1,4,0.155644,0.156318,0.155644,0.155871,0,103,181.2996,99.0000,280.2996,0.156318,0.155871,0.156318,0.139461,0.0761538,0.139461,18.8122,10.2725,29.0847,0.472339,0.257187,0.729527,39.8277,39.9418,0.156318,0.155871,0.156318,181.2996,99.0000,181.2996,99.0000,280.2996
105,0,0.0336513,110,76,30,1300,0.033651,40,1,4,106,111,30,76,1300,0.033651,40,1,4,0.0504765,0.05055,0.0504765,0.0506949,0,105,99.0000,181.2996,280.2996,0.05055,0.0506949,0.0506949,0.0761538,0.139461,0.139461,3.33145,6.10091,9.43236,0.0834075,0.153183,0.23659,39.9419,39.8277,0.05055,0.0506949,0.0506949,99.0000,181.2996,99.0000,181.2996,280.2996
107,1,0.0339358,112,76,78,1300,0.033936,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.050904,0.0509109,,,1,107,26.4000,,26.4000,0.0509109,,0.0509109,0.0203077,,0.0203077,0.89591,,0.89591,0.0224008,,0.0224008,39.9946,,0.0509109,,0.0509109,26.4000,,26.4000,,26.4000
108,0,0.450657,113,79,80,1300,0.450657,40,1,5,109,114,80,79,1300,0.450657,40,1,5,0.675986,0.676031,0.675986,0.678005,0,108,18.0000,147.6000,165.6000,0.676031,0.678005,0.678005,0.0138462,0.113538,0.113538,8.11183,66.5170,74.6288,0.202809,1.66789,1.8707,39.9973,39.8808,0.676031,0.678005,0.678005,18.0000,147.6000,18.0000,147.6000,165.6000
110,0,0.236846,115,79,81,1300,0.236846,40,1,5,111,116,81,79,1300,0.236846,40,1,5,0.355269,0.35633,0.355269,0.355293,0,110,147.6000,18.0000,165.6000,0.35633,0.355293,0.35633,0.113538,0.0138462,0.113538,34.9585,4.26323,39.2217,0.876573,0.106588,0.983161,39.8808,39.9973,0.35633,0.355293,0.35633,147.6000,18.0000,147.6000,18.0000,165.6000
112,0,0.101687,117,82,83,1300,0.101687,40,1,5,113,118,83,82,1300,0.101687,40,1,5,0.15253,0.152533,0.15253,0.152609,0,112,9,55.5581,64.5581,0.152533,0.152609,0.152609,0.00692308,0.042737,0.042737,0.915183,5.64954,6.56472,0.02288,0.141311,0.164191,39.9992,39.9794,0.152533,0.152609,0.152609,9,55.5581,9,55.5581,64.5581
114,0,0.100152,119,82,84,1300,0.100152,40,1,5,115,120,84,82,1300,0.100152,40,1,5,0.150228,0.150305,0.150228,0.150231,0,114,55.5581,9,64.5581,0.150305,0.150231,0.150305,0.042737,0.00692308,0.042737,5.56426,0.901368,6.46562,0.139178,0.0225346,0.161713,39.9794,39.9992,0.150305,0.150231,0.150305,55.5581,9,55.5581,9,64.5581
116,0,0.0308443,121,85,86,1300,0.030844,40,1,5,117,122,86,85,1300,0.030844,40,1,5,0.046266,0.046266,0.046266,0.0463562,0,116,0.0000,116.4000,116.4000,0.046266,0.0463562,0.0463562,0.0000,0.0895385,0.0895385,0.0000,3.59024,3.59024,0.0000,0.0899309,0.0899309,40.0000,39.9222,0.046266,0.0463562,0.0463562,0.0000,116.4000,0.0000,116.4000,116.4000
118,0,0.124832,123,85,87,1300,0.124832,40,1,4,119,124,87,85,1300,0.124832,40,1,4,0.187248,0.18791,0.187248,0.187327,0,118,162.0996,49.8000,211.8996,0.18791,0.187327,0.18791,0.124692,0.0383077,0.124692,20.2352,6.21663,26.4518,0.507669,0.155482,0.663151,39.8590,39.9831,0.18791,0.187327,0.18791,162.0996,49.8000,162.0996,49.8000,211.8996
120,0,0.0508063,125,85,88,1300,0.050806,40,1,4,121,126,88,85,1300,0.050806,40,1,4,0.076209,0.0762412,0.076209,0.0764785,0,120,49.8000,162.0996,211.8996,0.0762412,0.0764785,0.0764785,0.0383077,0.124692,0.124692,2.53014,8.23563,10.7658,0.0632802,0.206619,0.269899,39.9831,39.8590,0.0762412,0.0764785,0.0764785,49.8000,162.0996,49.8000,162.0996,211.8996
122,0,0.128475,127,5,83,1300,0.128475,40,1,5,123,128,83,5,1300,0.128475,40,1,5,0.192713,0.192761,0.192713,0.19445,0,122,37.2000,272.6419,309.8419,0.192761,0.19445,0.19445,0.0286154,0.209725,0.209725,4.77927,35.0277,39.8069,0.119512,0.883588,1.0031,39.9900,39.6425,0.192761,0.19445,0.19445,37.2000,272.6419,37.2000,272.6419,309.8419
124,0,0.177142,131,89,90,1300,0.177142,40,1,5,125,132,90,89,1300,0.177142,40,1,5,0.265713,0.265722,0.265713,0.265732,0,124,12.0000,18.6000,30.6000,0.265722,0.265732,0.265732,0.00923077,0.0143077,0.0143077,2.1257,3.29484,5.42055,0.0531443,0.0823769,0.135521,39.9987,39.9971,0.265722,0.265732,0.265732,12.0000,18.6000,12.0000,18.6000,30.6000
