"ID","Dir","Length","AB_Link_ID","AB_From_Node_","AB_To_Node_ID","AB_Capacity","AB_Length","AB_Free_Speed","AB_Lanes","AB_Link_Type","BA_DB_ID","BA_Link_ID","BA_From_Node_","BA_To_Node_ID","BA_Capacity","BA_Length","BA_Free_Speed","BA_Lanes","BA_Link_Type","AB_Free_Time","AB_UE_Time","BA_Free_Time","BA_UE_Time","direction","ID1","AB_Flow_PCE","BA_Flow_PCE","Tot_Flow_PCE","AB_Time","BA_Time","Max_Time","AB_VOC","BA_VOC","Max_VOC","AB_VKmT","BA_VKmT","Tot_VKmT","AB_VHT","BA_VHT","Tot_VHT","AB_Speed","BA_Speed","AB_VDF","BA_VDF","Max_VDF","AB_Flow_OD_Number","BA_Flow_OD_Number","AB_Flow","BA_Flow","Tot_Flow"
39,0,0.0913232,40,10,5,1400,0.091323,40,1,4,40,41,5,10,1400,0.091323,40,1,4,0.136984,0.209835,0.136984,0.16442,0,39,1458.7798,760.7591,2219.5389,0.209835,0.16442,0.209835,1.04199,0.543399,1.04199,133.2202,69.4748,202.6950,5.10172,2.08474,7.18646,26.1128,33.3254,0.209835,0.16442,0.209835,1458.7798,760.7591,1458.7798,760.7591,2219.5389
41,0,0.0882432,42,28,30,1400,0.088243,40,1,5,42,43,30,28,1400,0.088243,40,1,5,0.132364,0.132364,0.132364,0.132364,0,41,0.0000,0.0000,0.0000,0.132364,0.132364,0.132364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.132364,0.132364,0.132364,0.0000,0.0000,0.0000,0.0000,0.0000
43,0,0.0203389,44,31,32,1400,0.020339,40,1,5,44,45,32,31,1400,0.020339,40,1,5,0.0305085,0.0465011,0.0305085,0.0310424,0,43,1444.8167,149.8056,1594.6223,0.0465011,0.0310424,0.0465011,1.03201,0.107004,1.03201,29.3861,3.0469,32.4330,1.11976,0.0775055,1.19726,26.2433,39.3120,0.0465011,0.0310424,0.0465011,1444.8167,149.8056,1444.8167,149.8056,1594.6223
45,0,0.160415,46,31,33,1400,0.160415,40,1,5,46,47,33,31,1400,0.160415,40,1,5,0.240623,0.244834,0.240623,0.366757,0,45,149.8056,1444.8167,1594.6223,0.244834,0.366757,0.366757,0.107004,1.03201,1.03201,24.0311,231.7703,255.8013,0.611291,8.83161,9.4429,39.3120,26.2433,0.244834,0.366757,0.366757,149.8056,1444.8167,149.8056,1444.8167,1594.6223
47,0,0.0954142,48,34,35,1400,0.095414,40,1,5,48,49,35,34,1400,0.095414,40,1,5,0.143121,0.186348,0.143121,0.199901,0,47,1000.4277,1199.8971,2200.3248,0.186348,0.199901,0.199901,0.714591,0.857069,0.857069,95.4548,114.4870,209.9418,3.10714,3.99768,7.10482,30.7212,28.6383,0.186348,0.199901,0.199901,1000.4277,1199.8971,1000.4277,1199.8971,2200.3248
49,0,0.100098,50,34,36,1400,0.100098,40,1,5,50,51,36,34,1400,0.100098,40,1,5,0.150147,0.218707,0.150147,0.195497,0,49,1317.7997,1000.4277,2318.2274,0.218707,0.195497,0.218707,0.941285,0.714591,0.941285,131.9091,100.1408,232.0499,4.80353,3.25967,8.0632,27.4609,30.7212,0.218707,0.195497,0.218707,1317.7997,1000.4277,1317.7997,1000.4277,2318.2274
51,0,0.0669403,54,37,38,1400,0.06694,40,1,5,52,55,38,37,1400,0.06694,40,1,5,0.10041,0.10041,0.10041,0.10041,0,51,0.0000,0.0000,0.0000,0.10041,0.10041,0.10041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.10041,0.10041,0.10041,0.0000,0.0000,0.0000,0.0000,0.0000
53,0,0.124752,56,37,39,1400,0.124752,40,1,5,54,57,39,37,1400,0.124752,40,1,5,0.187128,0.187128,0.187128,0.187128,0,53,0.0000,0.0000,0.0000,0.187128,0.187128,0.187128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.187128,0.187128,0.187128,0.0000,0.0000,0.0000,0.0000,0.0000
55,0,0.105545,58,40,41,1400,0.105545,40,1,5,56,59,41,40,1400,0.105545,40,1,5,0.158317,0.178219,0.158317,0.164804,0,55,557.6764,264.1245,821.8009,0.178219,0.164804,0.178219,0.39834,0.18866,0.39834,58.8600,27.8770,86.7370,1.65647,0.72548,2.38195,35.5333,38.4256,0.178219,0.164804,0.178219,557.6764,264.1245,557.6764,264.1245,821.8009
57,0,0.108028,60,40,42,1400,0.108028,40,1,5,58,61,42,40,1400,0.108028,40,1,5,0.162042,0.168681,0.162042,0.182411,0,57,264.1245,557.6764,821.8009,0.168681,0.182411,0.182411,0.18866,0.39834,0.39834,28.5328,60.2447,88.7775,0.742547,1.69544,2.43799,38.4256,35.5333,0.168681,0.182411,0.182411,264.1245,557.6764,264.1245,557.6764,821.8009
59,0,0.070384,62,19,43,1400,0.070384,40,1,4,60,63,43,19,1400,0.070384,40,1,4,0.105576,0.150353,0.105576,0.153343,0,59,1254.5139,1309.7565,2564.2704,0.150353,0.153343,0.153343,0.896081,0.93554,0.93554,88.2977,92.1859,180.4836,3.14367,3.34737,6.49104,28.0875,27.5398,0.150353,0.153343,0.153343,1254.5139,1309.7565,1254.5139,1309.7565,2564.2704
61,0,0.0410087,64,44,45,1400,0.041009,40,1,5,62,65,45,44,1400,0.041009,40,1,5,0.0615135,0.0615135,0.0615135,0.0615135,0,61,0.0581624,0.0000,0.0581624,0.0615135,0.0615135,0.0615135,4.15445e-05,0.0000,4.15445e-05,0.00238518,0.0000,0.00238518,5.96295e-05,0.0000,5.96295e-05,40.0000,40.0000,0.0615135,0.0615135,0.0615135,0.0581624,0.0000,0.0581624,0.0000,0.0581624
63,0,0.151149,66,44,46,1400,0.151149,40,1,5,64,67,46,44,1400,0.151149,40,1,5,0.226724,0.226724,0.226724,0.226724,0,63,0.0000,0.0581624,0.0581624,0.226724,0.226724,0.226724,0.0000,4.15445e-05,4.15445e-05,0.0000,0.00879118,0.00879118,0.0000,0.00021978,0.00021978,40.0000,40.0000,0.226724,0.226724,0.226724,0.0000,0.0581624,0.0000,0.0581624,0.0581624
65,1,0.0743082,68,47,48,1400,0.074308,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.111462,0.111462,,,1,65,0.0000,,0.0000,0.111462,,0.111462,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,40.0000,,0.111462,,0.111462,0.0000,,0.0000,,0.0000
66,0,0.0723322,69,49,50,1400,0.072332,40,1,4,67,70,50,49,1400,0.072332,40,1,4,0.108498,0.157587,0.108498,0.154514,0,66,1309.7565,1254.5139,2564.2704,0.157587,0.154514,0.157587,0.93554,0.896081,0.93554,94.7373,90.7415,185.4788,3.44001,3.23067,6.67069,27.5398,28.0875,0.157587,0.154514,0.157587,1309.7565,1254.5139,1309.7565,1254.5139,2564.2704
68,0,0.0678506,71,51,52,1400,0.067851,40,1,5,69,72,52,51,1400,0.067851,40,1,5,0.101776,0.101795,0.101776,0.101777,0,68,7.2,0.6,7.8,0.101795,0.101777,0.101795,0.00514286,0.000428571,0.00514286,0.488527,0.0407106,0.529238,0.0122154,0.00101777,0.0132332,39.9926,39.9998,0.101795,0.101777,0.101795,7.2,0.6,7.2,0.6,7.8
70,0,0.0725077,73,51,53,1400,0.072508,40,1,5,71,74,53,51,1400,0.072508,40,1,5,0.108762,0.108762,0.108762,0.108782,0,70,0.6,7.2,7.8,0.108762,0.108782,0.108782,0.000428571,0.00514286,0.00514286,0.0435048,0.522058,0.565562,0.00108762,0.0130538,0.0141415,39.9998,39.9926,0.108762,0.108782,0.108782,0.6,7.2,0.6,7.2,7.8
72,1,0.0459761,75,49,54,1400,0.045976,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.068964,0.0982132,,,1,72,1254.5139,,1254.5139,0.0982132,,0.0982132,0.896081,,0.896081,57.6775,,57.6775,2.0535,,2.0535,28.0875,,0.0982132,,0.0982132,1254.5139,,1254.5139,,1254.5139
73,0,0.0734427,76,55,56,1400,0.073443,40,1,5,74,77,56,55,1400,0.073443,40,1,5,0.110164,0.110165,0.110164,0.110165,0,73,0.0000,0.0000,0.0000,0.110165,0.110165,0.110165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.110165,0.110165,0.110165,0.0000,0.0000,0.0000,0.0000,0.0000
75,0,0.441873,78,55,57,1400,0.441873,40,1,5,76,79,57,55,1400,0.441873,40,1,5,0.662809,0.662809,0.662809,0.662809,0,75,0.0000,0.0000,0.0000,0.662809,0.662809,0.662809,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.662809,0.662809,0.662809,0.0000,0.0000,0.0000,0.0000,0.0000
77,0,0.161218,80,58,59,1400,0.161218,40,1,5,78,81,59,58,1400,0.161218,40,1,5,0.241827,0.241827,0.241827,0.241827,0,77,0.0000,0.0000,0.0000,0.241827,0.241827,0.241827,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.241827,0.241827,0.241827,0.0000,0.0000,0.0000,0.0000,0.0000
79,1,0.0862123,82,60,61,1400,0.086212,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.129318,0.136621,,,1,79,327.1201,,327.1201,0.136621,,0.136621,0.233657,,0.233657,28.2017,,28.2017,0.744858,,0.744858,37.8618,,0.136621,,0.136621,327.1201,,327.1201,,327.1201
80,1,0.220471,83,60,62,1400,0.220471,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.330707,0.330707,,,1,80,0.0000,,0.0000,0.330707,,0.330707,0.0000,,0.0000,0.0000,,0.0000,0.0000,,0.0000,40.0000,,0.330707,,0.330707,0.0000,,0.0000,,0.0000
81,0,0.140923,84,49,63,1400,0.140923,40,1,4,82,85,63,49,1400,0.140923,40,1,4,0.211384,0.211385,0.211384,0.297528,0,81,0.0000,1221.5565,1221.5565,0.211385,0.297528,0.297528,0.0000,0.87254,0.87254,0.0000,172.1454,172.1454,0.0000,6.05745,6.05745,40.0000,28.4188,0.211385,0.297528,0.297528,0.0000,1221.5565,0.0000,1221.5565,1221.5565
83,0,0.0239653,86,64,65,1400,0.023965,40,1,4,84,87,65,64,1400,0.023965,40,1,4,0.0359475,0.0359475,0.0359475,0.0359475,0,83,0.0000,0.0000,0.0000,0.0359475,0.0359475,0.0359475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.0359475,0.0359475,0.0359475,0.0000,0.0000,0.0000,0.0000,0.0000
85,0,0.0612546,88,64,66,1400,0.061255,40,1,4,86,89,66,64,1400,0.061255,40,1,4,0.0918825,0.0918825,0.0918825,0.0918825,0,85,0.0000,0.0000,0.0000,0.0918825,0.0918825,0.0918825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.0918825,0.0918825,0.0918825,0.0000,0.0000,0.0000,0.0000,0.0000
87,1,0.0971204,90,67,68,1400,0.09712,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.14568,0.179108,,,1,87,832.9522,,832.9522,0.179108,,0.179108,0.594966,,0.594966,80.8963,,80.8963,2.48647,,2.48647,32.5346,,0.179108,,0.179108,832.9522,,832.9522,,832.9522
88,0,0.0557818,91,49,69,1400,0.055782,40,1,5,89,92,69,49,1400,0.055782,40,1,5,0.083673,0.083673,0.083673,0.0843346,0,88,0.0000,88.2000,88.2000,0.083673,0.0843346,0.0843346,0.0000,0.063,0.063,0.0000,4.91997,4.91997,0.0000,0.123972,0.123972,40.0000,39.6862,0.083673,0.0843346,0.0843346,0.0000,88.2000,0.0000,88.2000,88.2000
90,1,0.0903401,93,70,67,1400,0.09034,40,1,5,,-1,-1,-1,-1,,-1,-1,-1,0.13551,0.201846,,,1,90,1380.3894,,1380.3894,0.201846,,0.201846,0.985992,,0.985992,124.7044,,124.7044,4.64378,,4.64378,26.8541,,0.201846,,0.201846,1380.3894,,1380.3894,,1380.3894
91,0,0.305936,94,71,72,1400,0.305936,40,1,5,92,95,72,71,1400,0.305936,40,1,5,0.458904,0.458904,0.458904,0.458904,0,91,0.0000,0.0000,0.0000,0.458904,0.458904,0.458904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.458904,0.458904,0.458904,0.0000,0.0000,0.0000,0.0000,0.0000
93,0,0.414177,96,71,73,1400,0.414177,40,1,5,94,97,73,71,1400,0.414177,40,1,5,0.621266,0.621265,0.621266,0.621265,0,93,0.0000,0.0000,0.0000,0.621265,0.621265,0.621265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.621265,0.621265,0.621265,0.0000,0.0000,0.0000,0.0000,0.0000
95,1,0.0172332,98,54,74,1400,0.017233,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.0258495,0.0368129,,,1,95,1254.5139,,1254.5139,0.0368129,,0.0368129,0.896081,,0.896081,21.6190,,21.6190,0.769704,,0.769704,28.0875,,0.0368129,,0.0368129,1254.5139,,1254.5139,,1254.5139
96,0,0.297741,99,71,75,1400,0.297741,40,1,5,97,100,75,71,1400,0.297741,40,1,5,0.446611,0.446611,0.446611,0.446611,0,96,0.0000,0.0000,0.0000,0.446611,0.446611,0.446611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.446611,0.446611,0.446611,0.0000,0.0000,0.0000,0.0000,0.0000
98,0,0.151402,103,72,76,1400,0.151402,40,1,5,99,104,76,72,1400,0.151402,40,1,5,0.227103,0.227103,0.227103,0.227103,0,98,0.0000,0.0000,0.0000,0.227103,0.227103,0.227103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.227103,0.227103,0.227103,0.0000,0.0000,0.0000,0.0000,0.0000
100,1,0.0759558,105,74,77,1400,0.075956,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.113934,0.113991,,,1,100,13.9852,,13.9852,0.113991,,0.113991,0.00998945,,0.00998945,1.06226,,1.06226,0.0265698,,0.0265698,39.9800,,0.113991,,0.113991,13.9852,,13.9852,,13.9852
101,1,0.0771826,106,74,78,1400,0.077183,40,1,4,,-1,-1,-1,-1,,-1,-1,-1,0.115775,0.164058,,,1,101,1240.5286,,1240.5286,0.164058,,0.164058,0.886092,,0.886092,95.7477,,95.7477,3.39198,,3.39198,28.2277,,0.164058,,0.164058,1240.5286,,1240.5286,,1240.5286
102,0,0.069406,107,79,80,1400,0.069406,40,1,5,103,108,80,79,1400,0.069406,40,1,5,0.104109,0.104109,0.104109,0.104109,0,102,0.0000,0.0000,0.0000,0.104109,0.104109,0.104109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.104109,0.104109,0.104109,0.0000,0.0000,0.0000,0.0000,0.0000
104,0,0.0714482,109,79,81,1400,0.071448,40,1,5,105,110,81,79,1400,0.071448,40,1,5,0.107172,0.107172,0.107172,0.107172,0,104,0.0000,0.0000,0.0000,0.107172,0.107172,0.107172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.107172,0.107172,0.107172,0.0000,0.0000,0.0000,0.0000,0.0000
106,0,0.0734097,111,82,83,1400,0.07341,40,1,5,107,112,83,82,1400,0.07341,40,1,5,0.110115,0.110115,0.110115,0.110115,0,106,0.0000,0.0000,0.0000,0.110115,0.110115,0.110115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.110115,0.110115,0.110115,0.0000,0.0000,0.0000,0.0000,0.0000
108,0,0.261359,113,82,84,1400,0.261359,40,1,5,109,114,84,82,1400,0.261359,40,1,5,0.392039,0.392038,0.392039,0.392038,0,108,0.0000,0.0000,0.0000,0.392038,0.392038,0.392038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,0.392038,0.392038,0.392038,0.0000,0.0000,0.0000,0.0000,0.0000
110,0,0.0580095,115,85,86,1400,0.058009,40,1,5,111,116,86,85,1400,0.058009,40,1,5,0.0870135,0.104495,0.0870135,0.0873376,0,110,762.3226,53.4000,815.7226,0.104495,0.0873376,0.104495,0.544516,0.0381429,0.544516,44.2216,3.09768,47.3192,1.32765,0.0777305,1.40538,33.3083,39.8516,0.104495,0.0873376,0.104495,762.3226,53.4000,762.3226,53.4000,815.7226
112,0,0.0800745,117,85,87,1400,0.080074,40,1,5,113,118,87,85,1400,0.080074,40,1,5,0.120111,0.120558,0.120111,0.144242,0,112,53.4000,762.3226,815.7226,0.120558,0.144242,0.144242,0.0381429,0.544516,0.544516,4.27595,61.0422,65.3182,0.107297,1.83264,1.93994,39.8516,33.3083,0.120558,0.144242,0.144242,53.4000,762.3226,53.4000,762.3226,815.7226
114,0,0.13677,119,88,89,1400,0.13677,40,1,5,115,120,89,88,1400,0.13677,40,1,5,0.205155,0.2093,0.205155,0.205477,0,114,164.8446,30.0000,194.8446,0.2093,0.205477,0.2093,0.117746,0.0214286,0.117746,22.5458,4.1031,26.6489,0.575031,0.102738,0.67777,39.2079,39.9374,0.2093,0.205477,0.2093,164.8446,30.0000,164.8446,30.0000,194.8446
116,0,0.137533,121,88,90,1400,0.137533,40,1,5,117,122,90,88,1400,0.137533,40,1,5,0.206299,0.206623,0.206299,0.210467,0,116,30.0000,164.8446,194.8446,0.206623,0.210467,0.210467,0.0214286,0.117746,0.117746,4.12599,22.6716,26.7976,0.103312,0.578239,0.681551,39.9374,39.2079,0.206623,0.210467,0.210467,30.0000,164.8446,30.0000,164.8446,194.8446
118,0,0.432304,123,91,92,1400,0.432304,40,1,5,119,124,92,91,1400,0.432304,40,1,5,0.648456,0.658488,0.648456,0.650069,0,118,137.9837,40.8000,178.7837,0.658488,0.650069,0.658488,0.0985598,0.0291429,0.0985598,59.6509,17.6380,77.2889,1.51434,0.442047,1.95639,39.3906,39.9007,0.658488,0.650069,0.658488,137.9837,40.8000,137.9837,40.8000,178.7837
120,0,0.863355,125,91,93,1400,0.863355,40,1,5,121,126,93,91,1400,0.863355,40,1,5,1.29503,1.29503,1.29503,1.29503,0,120,0.0000,0.0000,0.0000,1.29503,1.29503,1.29503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.0000,40.0000,1.29503,1.29503,1.29503,0.0000,0.0000,0.0000,0.0000,0.0000
122,0,0.253662,127,91,94,1400,0.253662,40,1,5,123,128,94,91,1400,0.253662,40,1,5,0.380493,0.381439,0.380493,0.380493,0,122,40.8000,0.0000,40.8000,0.381439,0.380493,0.381439,0.0291429,0.0000,0.0291429,10.3494,0.0000,10.3494,0.259379,0.0000,0.259379,39.9007,40.0000,0.381439,0.380493,0.381439,40.8000,0.0000,40.8000,0.0000,40.8000
